Sample in Buffer,Sample in Window,TRIGGER,data_out_probe_in[7:0],cnt_out_addr_in[7:0]
833,833,0,ff,44
834,834,0,fc,49
835,835,0,f8,4e
836,836,0,f1,53
837,837,0,e9,58
838,838,0,e0,5d
839,839,0,d5,62
840,840,0,c8,67
841,841,0,bb,6c
842,842,0,ac,71
843,843,0,9d,76
844,844,0,8e,7b
845,845,0,7e,80
846,846,0,6e,85
847,847,0,5f,8a
848,848,0,50,8f
849,849,0,42,94
850,850,0,34,99
851,851,0,28,9e
852,852,0,1d,a3
853,853,0,14,a8
854,854,0,0c,ad
855,855,0,06,b2
856,856,0,02,b7
857,857,0,00,bc
858,858,0,00,c1
859,859,0,01,c6
860,860,0,05,cb
861,861,0,0a,d0
862,862,0,11,d5
863,863,0,1a,da
864,864,0,25,df
865,865,0,30,e4
866,866,0,3d,e9
867,867,0,4b,ee
868,868,0,5a,f3
869,869,0,6a,f8
870,870,0,79,fd
871,871,0,86,02
872,872,0,95,07
873,873,0,a5,0c
874,874,0,b4,11
875,875,0,c2,16
876,876,0,cf,1b
877,877,0,da,20
878,878,0,e5,25
879,879,0,ee,2a
880,880,0,f5,2f
881,881,0,fa,34
882,882,0,fe,39
883,883,0,ff,3e
884,884,0,ff,43
885,885,0,fd,48
886,886,0,f9,4d
887,887,0,f3,52
888,888,0,eb,57
889,889,0,e2,5c
890,890,0,d7,61
891,891,0,cb,66
892,892,0,bd,6b
893,893,0,af,70
894,894,0,a0,75
895,895,0,91,7a
896,896,0,81,7f
897,897,0,71,84
898,898,0,62,89
899,899,0,53,8e
900,900,0,44,93
901,901,0,37,98
902,902,0,2a,9d
903,903,0,1f,a2
904,904,0,16,a7
905,905,0,0e,ac
906,906,0,07,b1
907,907,0,03,b6
908,908,0,00,bb
909,909,0,00,c0
910,910,0,01,c5
911,911,0,04,ca
912,912,0,09,cf
913,913,0,10,d4
914,914,0,18,d9
915,915,0,23,de
916,916,0,2e,e3
917,917,0,3b,e8
918,918,0,49,ed
919,919,0,57,f2
920,920,0,66,f7
921,921,0,76,fc
922,922,0,83,01
923,923,0,92,06
924,924,0,a2,0b
925,925,0,b1,10
926,926,0,bf,15
927,927,0,cc,1a
928,928,0,d8,1f
929,929,0,e3,24
930,930,0,ec,29
931,931,0,f3,2e
932,932,0,f9,33
933,933,0,fd,38
934,934,0,ff,3d
935,935,0,ff,42
936,936,0,fd,47
937,937,0,fa,4c
938,938,0,f4,51
939,939,0,ed,56
940,940,0,e4,5b
941,941,0,d9,60
942,942,0,cd,65
943,943,0,c0,6a
944,944,0,b2,6f
945,945,0,a3,74
946,946,0,94,79
947,947,0,84,7e
948,948,0,74,83
949,949,0,65,88
950,950,0,56,8d
951,951,0,47,92
952,952,0,39,97
953,953,0,2d,9c
954,954,0,21,a1
955,955,0,17,a6
956,956,0,0f,ab
957,957,0,08,b0
958,958,0,04,b5
959,959,0,01,ba
960,960,0,00,bf
961,961,0,00,c4
962,962,0,03,c9
963,963,0,08,ce
964,964,0,0e,d3
965,965,0,17,d8
966,966,0,20,dd
967,967,0,2c,e2
968,968,0,38,e7
969,969,0,46,ec
970,970,0,54,f1
971,971,0,63,f6
972,972,0,73,fb
973,973,0,7f,00
974,974,0,8f,05
975,975,0,9f,0a
976,976,0,ae,0f
977,977,0,bc,14
978,978,0,c9,19
979,979,0,d6,1e
980,980,0,e1,23
981,981,0,ea,28
982,982,0,f2,2d
983,983,0,f8,32
984,984,0,fd,37
985,985,0,ff,3c
986,986,0,ff,41
987,987,0,fe,46
988,988,0,fb,4b
989,989,0,f5,50
990,990,0,ee,55
991,991,0,e6,5a
992,992,0,db,5f
993,993,0,d0,64
994,994,0,c3,69
995,995,0,b5,6e
996,996,0,a6,73
997,997,0,97,78
998,998,0,87,7d
999,999,0,78,82
1000,1000,0,68,87
1001,1001,0,59,8c
1002,1002,0,4a,91
1003,1003,0,3c,96
1004,1004,0,2f,9b
1005,1005,0,24,a0
1006,1006,0,19,a5
1007,1007,0,11,aa
1008,1008,0,0a,af
1009,1009,0,04,b4
1010,1010,0,01,b9
1011,1011,0,00,be
1012,1012,0,00,c3
1013,1013,0,02,c8
1014,1014,0,07,cd
1015,1015,0,0d,d2
1016,1016,0,15,d7
1017,1017,0,1e,dc
1018,1018,0,29,e1
1019,1019,0,36,e6
1020,1020,0,43,eb
1021,1021,0,51,f0
1022,1022,0,60,f5
1023,1023,0,70,fa
