Sample in Buffer,Sample in Window,TRIGGER,b[7:0],a,c[7:0]
174,174,0,1b,0,cf
175,175,0,1c,0,d1
176,176,0,1d,0,d3
177,177,0,1e,0,d6
178,178,0,1f,0,d8
179,179,0,20,0,da
180,180,0,21,0,dc
181,181,0,22,0,df
182,182,0,23,0,e1
183,183,0,24,0,e3
184,184,0,25,0,e5
185,185,0,26,0,e7
186,186,0,27,0,e8
187,187,0,28,0,ea
188,188,0,29,0,ec
189,189,0,2a,0,ee
190,190,0,2b,0,ef
191,191,0,2c,0,f1
192,192,0,2d,0,f2
193,193,0,2e,0,f3
194,194,0,2f,0,f5
195,195,0,30,0,f6
196,196,0,31,0,f7
197,197,0,32,0,f8
198,198,0,33,0,f9
199,199,0,34,0,fa
200,200,0,35,0,fb
201,201,0,36,0,fc
202,202,0,37,0,fd
203,203,0,38,0,fd
204,204,0,39,0,fe
205,205,0,3a,0,fe
206,206,0,3b,0,ff
207,207,0,3c,0,ff
208,208,0,3d,0,ff
209,209,0,3e,0,ff
210,210,0,3f,0,ff
211,211,0,40,0,ff
212,212,0,41,0,ff
213,213,0,42,0,ff
214,214,0,43,0,ff
215,215,0,44,0,ff
216,216,0,45,0,fe
217,217,0,46,0,fe
218,218,0,47,0,fd
219,219,0,48,0,fd
220,220,0,49,0,fc
221,221,0,4a,0,fb
222,222,0,4b,0,fb
223,223,0,4c,0,fa
224,224,0,4d,0,f9
225,225,0,4e,0,f8
226,226,0,4f,0,f7
227,227,0,50,0,f5
228,228,0,51,0,f4
229,229,0,52,0,f3
230,230,0,53,0,f1
231,231,0,54,0,f0
232,232,0,55,0,ee
233,233,0,56,0,ed
234,234,0,57,0,eb
235,235,0,58,0,e9
236,236,0,59,0,e8
237,237,0,5a,0,e6
238,238,0,5b,0,e4
239,239,0,5c,0,e2
240,240,0,5d,0,e0
241,241,0,5e,0,de
242,242,0,5f,0,db
243,243,0,60,0,d9
244,244,0,61,0,d7
245,245,0,62,0,d5
246,246,0,63,0,d2
247,247,0,64,0,d0
248,248,0,65,0,cd
249,249,0,66,0,cb
250,250,0,67,0,c8
251,251,0,68,0,c6
252,252,0,69,0,c3
253,253,0,6a,0,c0
254,254,0,6b,0,bd
255,255,0,6c,0,bb
256,256,0,6d,0,b8
257,257,0,6e,0,b5
258,258,0,6f,0,b2
259,259,0,70,0,af
260,260,0,71,0,ac
261,261,0,72,0,a9
262,262,0,73,0,a6
263,263,0,74,0,a3
264,264,0,75,0,a0
265,265,0,76,0,9d
266,266,0,77,0,9a
267,267,0,78,0,97
268,268,0,79,0,94
269,269,0,7a,0,91
270,270,0,7b,0,8e
271,271,0,7c,0,8b
272,272,0,7d,0,87
273,273,0,7e,0,84
274,274,0,7f,0,81
275,275,0,80,0,7e
276,276,0,81,0,7b
277,277,0,82,0,78
278,278,0,83,0,74
279,279,0,84,0,71
280,280,0,85,0,6e
281,281,0,86,0,6b
282,282,0,87,0,68
283,283,0,88,0,65
284,284,0,89,0,62
285,285,0,8a,0,5f
286,286,0,8b,0,5c
287,287,0,8c,0,59
288,288,0,8d,0,56
289,289,0,8e,0,53
290,290,0,8f,0,50
291,291,0,90,0,4d
292,292,0,91,0,4a
293,293,0,92,0,47
294,294,0,93,0,44
295,295,0,94,0,42
296,296,0,95,0,3f
297,297,0,96,0,3c
298,298,0,97,0,39
299,299,0,98,0,37
300,300,0,99,0,34
301,301,0,9a,0,32
302,302,0,9b,0,2f
303,303,0,9c,0,2d
304,304,0,9d,0,2a
305,305,0,9e,0,28
306,306,0,9f,0,26
307,307,0,a0,0,24
308,308,0,a1,0,21
309,309,0,a2,0,1f
310,310,0,a3,0,1d
311,311,0,a4,0,1b
312,312,0,a5,0,19
313,313,0,a6,0,17
314,314,0,a7,0,16
315,315,0,a8,0,14
316,316,0,a9,0,12
317,317,0,aa,0,11
